CountyCode	PrecinctNu	CensusBloc	Split
MRT	2	120850004003000	
MRT	2	120850004003001	
MRT	2	120850004003002	
MRT	2	120850004003003	
MRT	2	120850004003004	
MRT	2	120850004003005	
MRT	2	120850004003006	
MRT	2	120850004003007	
MRT	2	120850004003008	
MRT	2	120850004003009	
MRT	2	120850004003010	
MRT	2	120850004003011	
MRT	2	120850004003012	
MRT	2	120850004003013	
MRT	2	120850004003014	
MRT	2	120850004003015	
MRT	2	120850004003016	
MRT	2	120850004003017	
MRT	2	120850004003018	
MRT	2	120850004003019	
MRT	2	120850004003020	
MRT	2	120850004003021	
MRT	3	120850004003022	
MRT	3	120850004003023	
MRT	3	120850004003024	
MRT	3	120850004003025	
MRT	3	120850004003026	
MRT	3	120850004003027	
MRT	3	120850004003028	
MRT	3	120850004003029	
MRT	3	120850004003030	
MRT	3	120850004003031	
MRT	3	120850004003032	
MRT	3	120850004003033	
MRT	3	120850004003034	
MRT	3	120850004003035	
MRT	3	120850004003036	
MRT	3	120850004003037	
MRT	3	120850004003038	
MRT	3	120850004003039	
MRT	3	120850004003040	
MRT	3	120850004003041	
MRT	3	120850004003042	
MRT	2	120850004003043	
MRT	3	120850004003044	
MRT	3	120850004003045	
MRT	3	120850004003046	
MRT	3	120850004003047	
MRT	3	120850004003048	
MRT	2	120850004003049	
MRT	3	120850004003050	
MRT	3	120850004003051	
MRT	3	120850004003052	
MRT	3	120850004003053	
MRT	3	120850004003054	
MRT	3	120850004003055	
MRT	3	120850004003056	
MRT	3	120850004003057	
MRT	3	120850004003058	
MRT	2	120850004003059	
MRT	2	120850004003060	
MRT	3	120850004003061	
MRT	3	120850004003062	
MRT	2	120850004003063	
MRT	2	120850004003064	
MRT	2	120850004003065	
MRT	2	120850004003066	
MRT	2	120850004003067	
MRT	2	120850004003068	
MRT	2	120850004003069	
MRT	3	120850004003070	
MRT	3	120850004003071	
MRT	2	120850004003072	
MRT	2	120850004003073	
MRT	2	120850004003074	
MRT	2	120850004003075	
MRT	3	120850004004000	
MRT	3	120850004004001	
MRT	3	120850004004002	
MRT	3	120850004004003	
MRT	3	120850004004004	
MRT	3	120850004004005	
MRT	3	120850004004006	
MRT	3	120850004004007	
MRT	3	120850004004008	
MRT	3	120850004004009	
MRT	3	120850004004010	
MRT	3	120850004004011	
MRT	3	120850004004012	
MRT	3	120850004004013	
MRT	4	120850005011000	
MRT	4	120850005011001	
MRT	4	120850005011002	
MRT	4	120850005011003	
MRT	4	120850005011004	
MRT	4	120850005011005	
MRT	4	120850005011006	
MRT	4	120850005011007	
MRT	4	120850005011008	
MRT	4	120850005011009	
MRT	4	120850005011010	
MRT	4	120850005011011	
MRT	4	120850005011012	
MRT	4	120850005011013	
MRT	4	120850005011014	
MRT	4	120850005011015	
MRT	4	120850005011016	
MRT	4	120850005011017	
MRT	4	120850005011018	
MRT	4	120850005011019	
MRT	4	120850005011020	
MRT	4	120850005011021	
MRT	4	120850005011022	
MRT	4	120850005011023	
MRT	4	120850005011024	
MRT	4	120850005011025	
MRT	4	120850005011026	
MRT	4	120850005011027	
MRT	4	120850005011028	
MRT	4	120850005011029	
MRT	4	120850005011030	
MRT	4	120850005011031	
MRT	4	120850005011032	
MRT	4	120850005011033	
MRT	4	120850005011034	
MRT	4	120850005011035	
MRT	4	120850005011036	
MRT	4	120850005011037	
MRT	4	120850005011038	
MRT	4	120850005011039	
MRT	4	120850005011040	
MRT	4	120850005011041	
MRT	4	120850005011042	
MRT	4	120850005011043	
MRT	4	120850005011044	
MRT	4	120850005011045	
MRT	4	120850005011046	
MRT	4	120850005011047	
MRT	4	120850005011048	
MRT	4	120850005011049	
MRT	4	120850005011050	
MRT	4	120850005011051	
MRT	4	120850005012000	
MRT	4	120850005012001	
MRT	4	120850005012002	
MRT	4	120850005012003	
MRT	4	120850005012004	
MRT	4	120850005012005	
MRT	4	120850005012006	
MRT	4	120850005012007	
MRT	4	120850005012008	
MRT	4	120850005012009	
MRT	4	120850005012010	
MRT	4	120850005012011	
MRT	4	120850005012012	
MRT	4	120850005012013	
MRT	4	120850005012014	
MRT	4	120850005012015	
MRT	4	120850005012016	
MRT	4	120850005012017	
MRT	4	120850005012018	
MRT	4	120850005012019	
MRT	4	120850005012020	
MRT	4	120850005013000	
MRT	4	120850005013001	
MRT	4	120850005013002	
MRT	4	120850005013003	
MRT	4	120850005013004	
MRT	4	120850005013005	
MRT	4	120850005013006	
MRT	4	120850005013007	
MRT	4	120850005013008	
MRT	4	120850005013009	
MRT	4	120850005013010	
MRT	4	120850005013011	
MRT	4	120850005013012	
MRT	4	120850005013013	
MRT	4	120850005013014	
MRT	4	120850005013015	
MRT	4	120850005013016	
MRT	4	120850005013017	
MRT	4	120850005013018	
MRT	4	120850005013019	
MRT	4	120850005013020	
MRT	4	120850005013021	
MRT	4	120850005013022	
MRT	4	120850005013023	
MRT	4	120850005013024	
MRT	4	120850005013025	
MRT	4	120850005013026	
MRT	4	120850005013027	
MRT	4	120850005013028	
MRT	4	120850005013029	
MRT	4	120850005014000	
MRT	4	120850005014001	
MRT	4	120850005014002	
MRT	4	120850005014003	
MRT	4	120850005014004	
MRT	4	120850005014005	
MRT	4	120850005014006	
MRT	4	120850005014007	
MRT	4	120850005014008	
MRT	4	120850005014009	
MRT	4	120850005014010	
MRT	4	120850005014011	
MRT	4	120850005014012	
MRT	4	120850005014013	
MRT	4	120850005014014	
MRT	4	120850005014015	
MRT	4	120850005014016	
MRT	4	120850005014017	
MRT	4	120850005014018	
MRT	4	120850005014019	
MRT	4	120850005014020	
MRT	4	120850005014021	
MRT	4	120850005014022	
MRT	4	120850005014023	
MRT	4	120850005014024	
MRT	4	120850005014025	
MRT	4	120850005014026	
MRT	4	120850005014027	
MRT	4	120850005014028	
MRT	4	120850005014029	
MRT	4	120850005014030	
MRT	4	120850005014031	
MRT	4	120850005014032	
MRT	4	120850005014033	
MRT	2	120850005014034	
MRT	2	120850005014035	
MRT	2	120850005014036	
MRT	2	120850005014037	
